TIME	INTERVALO	Abertura Valvula
341.000	1.000	100.000000
342.000	1.000	99.677216
343.000	1.000	99.999992
344.000	1.000	99.999992
345.000	1.000	100.000000
346.000	1.000	100.000000
347.000	1.000	100.000000
348.000	1.000	100.000000
349.000	1.000	100.000000
350.000	1.000	100.000000
351.000	1.000	100.000000
352.000	1.000	100.000000
353.000	1.000	100.000000
354.000	1.000	99.921211
355.000	1.000	99.921211
356.000	1.000	99.921211
357.000	1.000	99.696991
358.000	1.000	99.286278
359.000	1.000	99.286278
360.000	1.000	99.999992
361.000	1.000	99.999992
362.000	1.000	100.000000
363.000	1.000	100.000000
364.000	1.000	99.999992
365.000	1.000	99.999992
366.000	1.000	100.000000
367.000	1.000	100.000000
368.000	1.000	100.000000
369.000	1.000	100.000000
370.000	1.000	99.711136
371.000	1.000	99.711136
372.000	1.000	100.000000
373.000	1.000	100.000000
374.000	1.000	100.000000
375.000	1.000	100.000000
376.000	1.000	100.000000
377.000	1.000	100.000000
378.000	1.000	100.000000
379.000	1.000	100.000000
380.000	1.000	99.927460
381.000	1.000	99.927460
382.000	1.000	99.479950
383.000	1.000	99.479950
384.000	1.000	99.479950
385.000	1.000	99.995468
386.000	1.000	99.995468
387.000	1.000	100.000000
388.000	1.000	99.963089
389.000	1.000	98.910522
390.000	1.000	98.910522
391.000	1.000	98.910522
392.000	1.000	99.999985
393.000	1.000	99.999985
394.000	1.000	99.999985
395.000	1.000	100.000000
396.000	1.000	100.000000
397.000	1.000	99.831223
398.000	1.000	99.831223
399.000	1.000	100.000000
400.000	1.000	99.265793
401.000	1.000	100.000000
402.000	1.000	100.000000
403.000	1.000	100.000000
404.000	1.000	100.000000
405.000	1.000	100.000000
406.000	1.000	100.000000
407.000	1.000	100.000000
408.000	1.000	100.000000
409.000	1.000	99.619888
410.000	1.000	100.000000
411.000	1.000	100.000000
412.000	1.000	99.896606
413.000	1.000	99.868134
414.000	1.000	99.868134
415.000	1.000	99.868134
416.000	1.000	99.638763
417.000	1.000	98.388802
418.000	1.000	98.388802
