TIME	INTERVALO	Temp Tanque 2
447.000	1.000	26.559200
448.000	1.000	26.559200
449.000	1.000	26.561815
450.000	1.000	26.569361
451.000	1.000	26.569361
452.000	1.000	26.568184
453.000	1.000	26.569235
454.000	1.000	26.577482
455.000	1.000	26.577482
456.000	1.000	26.631701
457.000	1.000	26.631701
458.000	1.000	26.635160
459.000	1.000	26.633987
460.000	1.000	26.633987
461.000	1.000	26.633322
462.000	1.000	26.630434
463.000	1.000	26.616297
464.000	1.000	26.616297
465.000	1.000	26.619757
466.000	1.000	26.618301
467.000	1.000	26.618301
468.000	1.000	26.618301
469.000	1.000	26.604197
470.000	1.000	26.605558
471.000	1.000	26.611483
472.000	1.000	26.611483
473.000	1.000	26.606291
474.000	1.000	26.609388
475.000	1.000	26.612350
476.000	1.000	26.612350
477.000	1.000	26.618389
478.000	1.000	26.621386
479.000	1.000	26.621553
480.000	1.000	26.621553
481.000	1.000	26.621553
482.000	1.000	26.606956
483.000	1.000	26.609591
484.000	1.000	26.611450
485.000	1.000	26.611450
486.000	1.000	26.610882
487.000	1.000	26.608229
488.000	1.000	26.608229
489.000	1.000	26.604343
490.000	1.000	26.603226
491.000	1.000	26.597792
492.000	1.000	26.597792
493.000	1.000	26.597792
494.000	1.000	26.625854
495.000	1.000	26.625835
496.000	1.000	26.635555
497.000	1.000	26.635555
498.000	1.000	26.630676
499.000	1.000	26.627087
500.000	1.000	26.628431
501.000	1.000	26.628431
502.000	1.000	26.635242
503.000	1.000	26.635242
504.000	1.000	26.635021
505.000	1.000	26.618927
506.000	1.000	26.618927
507.000	1.000	26.618597
508.000	1.000	26.622444
509.000	1.000	26.620951
510.000	1.000	26.620951
511.000	1.000	26.620951
512.000	1.000	26.618174
513.000	1.000	26.623381
514.000	1.000	26.625738
515.000	1.000	26.625738
516.000	1.000	26.628220
517.000	1.000	26.649336
518.000	1.000	26.641109
519.000	1.000	26.641109
520.000	1.000	26.643225
521.000	1.000	26.646687
522.000	1.000	26.646687
523.000	1.000	26.646687
524.000	1.000	26.645561
525.000	1.000	26.638567
526.000	1.000	26.641163
527.000	1.000	26.641163
528.000	1.000	26.636909
529.000	1.000	26.611086
530.000	1.000	26.619827
531.000	1.000	26.619827
532.000	1.000	26.616922
533.000	1.000	26.612612
534.000	1.000	26.609028
535.000	1.000	26.609028
536.000	1.000	26.609028
537.000	1.000	26.612747
538.000	1.000	26.614895
539.000	1.000	26.614895
540.000	1.000	26.617014
541.000	1.000	26.649649
542.000	1.000	26.657305
543.000	1.000	26.657305
544.000	1.000	26.655392
545.000	1.000	26.649519
546.000	1.000	26.649519
547.000	1.000	26.653236
548.000	1.000	26.653236
549.000	1.000	26.657635
550.000	1.000	26.655590
551.000	1.000	26.663471
552.000	1.000	26.663471
553.000	1.000	26.653648
554.000	1.000	26.649982
555.000	1.000	26.649982
556.000	1.000	26.648972
557.000	1.000	26.645493
558.000	1.000	26.645493
